Label,landmark_0_x,landmark_0_y,landmark_0_z,landmark_1_x,landmark_1_y,landmark_1_z,landmark_2_x,landmark_2_y,landmark_2_z,landmark_3_x,landmark_3_y,landmark_3_z,landmark_4_x,landmark_4_y,landmark_4_z,landmark_5_x,landmark_5_y,landmark_5_z,landmark_6_x,landmark_6_y,landmark_6_z,landmark_7_x,landmark_7_y,landmark_7_z,landmark_8_x,landmark_8_y,landmark_8_z,landmark_9_x,landmark_9_y,landmark_9_z,landmark_10_x,landmark_10_y,landmark_10_z,landmark_11_x,landmark_11_y,landmark_11_z,landmark_12_x,landmark_12_y,landmark_12_z,landmark_13_x,landmark_13_y,landmark_13_z,landmark_14_x,landmark_14_y,landmark_14_z,landmark_15_x,landmark_15_y,landmark_15_z,landmark_16_x,landmark_16_y,landmark_16_z,landmark_17_x,landmark_17_y,landmark_17_z,landmark_18_x,landmark_18_y,landmark_18_z,landmark_19_x,landmark_19_y,landmark_19_z,landmark_20_x,landmark_20_y,landmark_20_z
R,0.0,0.0,0.0,0.08544291036201232,-0.08014273370619485,-0.07488843201001003,0.12835371616715338,-0.2922283131742848,-0.09717986345089139,0.09022048585849651,-0.47931140615670426,-0.11229580458598247,0.024762598606567102,-0.6177428744761593,-0.12206031395155263,0.14513356155465765,-0.4917803252461993,-0.03417893488924993,0.14384633829093119,-0.7111186571302525,-0.06402017381834352,0.12854667659521485,-0.8604549329061277,-0.08329345537501621,0.1086309781287171,-0.989227386328734,-0.09812486294522767,0.07998341008744683,-0.5067064542765399,-0.02400202080778491,0.11708579525214458,-0.7321198400455942,-0.06111784018595848,0.13696285240843104,-0.8627885891034951,-0.0804451662502781,0.1480093446689596,-0.9827043885928759,-0.08822849318509898,0.010481722028056027,-0.46358234187575265,-0.02424216250122707,0.0009708731741835174,-0.6372951313200753,-0.10155056687130509,0.018339690888666018,-0.48252798757805027,-0.10987435426528211,0.031460097545863465,-0.37646858454184423,-0.09196549142419752,-0.058657755023727914,-0.3827862336588939,-0.029352055316553275,-0.05433411237097827,-0.5041239677312516,-0.1014265619023362,-0.023623377303819613,-0.4081921977743289,-0.10772640812274928,-0.0007469012487548886,-0.3309017014159166,-0.09632355027574462
R,0.0,0.0,0.0,0.08383793175526703,-0.0757722958466503,-0.06643111647929044,0.12378382960048726,-0.2868494565038548,-0.0865085196930016,0.09581975160662233,-0.4720723337818539,-0.10204418497276767,0.026796244006744543,-0.5913361566092933,-0.11337031664524959,0.11831805282776457,-0.5056078052582458,-0.02907249423737565,0.12135950035712516,-0.7167081209225502,-0.05639508750178273,0.10972605132226679,-0.8604743855292015,-0.07301498132065444,0.09085890337582059,-0.9829894327809698,-0.08532807182902971,0.055072541128602,-0.5193264000292381,-0.022325818418166214,0.09359238931075217,-0.7432552618690426,-0.057099671959761976,0.11980393204143812,-0.8740303723954956,-0.07411927442034791,0.1338265296475811,-0.9877806892581577,-0.07987346174521459,-0.01232189968143903,-0.4717945483902262,-0.02501314372604067,-0.010426027454954244,-0.6381593903374766,-0.0980871716566225,0.010530598454760632,-0.4873540409192339,-0.10703355681110602,0.02244272920410229,-0.3732394435093898,-0.09053198227750585,-0.07581651444085402,-0.3848296449664714,-0.03209931349763391,-0.05590858627205171,-0.4835743968248132,-0.10216457233629453,-0.01628312384766579,-0.38979415318226657,-0.11055977495483575,0.009546510653013842,-0.3076057542553697,-0.10076826005129415
R,0.0,0.0,0.0,0.07417154795867381,-0.06237316539928334,-0.08861691082493829,0.09971890591936891,-0.24268402940811748,-0.12309571662727112,0.053495729925868075,-0.4070503860651704,-0.1466506440087178,-0.007907884835352996,-0.5466616599161622,-0.16520943235209615,0.11575663156705997,-0.4773986981219416,-0.06552916983621464,0.09924196575883013,-0.7045257189911032,-0.10757885825305159,0.07669687981123188,-0.8505184280819239,-0.13063661469292898,0.052116742031201445,-0.9728243681820505,-0.14594432456077597,0.04800806527837465,-0.48060572894364045,-0.05231206106549601,0.08644365625460632,-0.7229465382294896,-0.10358297764729062,0.09413705864876658,-0.8600453379239112,-0.12759648279219388,0.0925208462631295,-0.9866004251055288,-0.13438561749065342,-0.01937815506526091,-0.4238435817127309,-0.04917964003828771,-0.04670895582003108,-0.5816355573295416,-0.1442155269746477,-0.030229407593967434,-0.4238226075961512,-0.158464084135519,-0.00971680193960357,-0.31898674047673053,-0.14022361417350793,-0.0828946107196385,-0.31884868096606406,-0.050539296186135486,-0.09022542608694954,-0.3932481315861176,-0.14294956626377184,-0.053876799890699566,-0.2821018679971993,-0.15671200206556338,-0.01869067013292573,-0.20180732448804645,-0.1457356883532276
R,0.0,0.0,0.0,0.08356322598395108,-0.07490929440218484,-0.07107569790674982,0.12009693478961005,-0.27394041235720246,-0.09419046879353303,0.09237592207279749,-0.45627325732456053,-0.11060948901311021,0.030610348023905044,-0.5819499602900761,-0.12285457395871328,0.11434276395161151,-0.5034076990762465,-0.04431688783606752,0.10604798866330191,-0.7191615153277054,-0.07681601315323881,0.08967320208218886,-0.857681313733247,-0.09587483771477565,0.06975577765148046,-0.9769676708213698,-0.1093578781065649,0.05187987712396612,-0.515593470733909,-0.03403068659115755,0.0801713846291198,-0.7441319255126088,-0.07469952384445258,0.09243393218115381,-0.8757493401652018,-0.09476139176945172,0.09695909296997053,-0.9900425088252021,-0.10205275601148779,-0.014479591128393598,-0.4647771370856105,-0.03225826694503222,-0.022534432438367082,-0.6306149306130681,-0.10689757744392853,0.00012503077269622847,-0.48122922083292846,-0.11377430717591583,0.017149843330500122,-0.36968866532476774,-0.09602262758807024,-0.0739313139746579,-0.36992025895376407,-0.03520995939523757,-0.060212481853925276,-0.4574867781535394,-0.10810397732732137,-0.018815828111176984,-0.36510668590607187,-0.11714103439847079,0.010611307317511757,-0.2887454260446682,-0.10665499987272099
R,0.0,0.0,0.0,0.07893581754068874,-0.05157455355538162,-0.06671100942794224,0.12780635550344993,-0.22874155128024998,-0.0956170186247629,0.10269903630986679,-0.3973543769981296,-0.11979094323470107,0.04256351117165518,-0.5258655199974664,-0.14090740800780785,0.10735605816344727,-0.4739405208872194,-0.05383422195422561,0.10737431769857121,-0.694739785586449,-0.09412445442785017,0.0969486579409866,-0.8389850706823089,-0.11471975845264332,0.08631924010735562,-0.9618509613392525,-0.12779217220629904,0.044426365752924704,-0.486030854330211,-0.05264959163822229,0.08644751525159346,-0.720687272594912,-0.10454607454978741,0.10949433376614467,-0.8620383067740586,-0.12988264067885522,0.12732129362687694,-0.9821671007559186,-0.13833681499113626,-0.024522784870436326,-0.4349789513178495,-0.05864368514118136,-0.009554855651555475,-0.5879271586921878,-0.14599009094901275,0.009572121990207955,-0.4170302102898063,-0.15308720553293312,0.022413082766217153,-0.29796383093318224,-0.13268301542911132,-0.08954942063050984,-0.33535217729222117,-0.06807724667369533,-0.05935510191105867,-0.3933218465257283,-0.15142695348181606,-0.009290512590767406,-0.274980194994143,-0.15999940412386063,0.02557542033041771,-0.18933732168365316,-0.1465736607255867
R,0.0,0.0,0.0,0.0917297125806912,-0.05877343272186766,-0.06482731782278668,0.1367240508652634,-0.25769712384311777,-0.08881972569092883,0.11631821616042852,-0.4497478571343111,-0.1067824034516072,0.0523490903846211,-0.5672883676229514,-0.12177555294393885,0.12088890677025897,-0.4888888384074388,-0.05473030561229006,0.12038442678847425,-0.7109968097169139,-0.08898742076323922,0.1086714317053169,-0.8506625397377169,-0.10671992537564423,0.09296161323637205,-0.9721562017695736,-0.11919156169697256,0.05968699446418547,-0.5053470636810589,-0.048528585295714965,0.09542430612533347,-0.7374900263493076,-0.09148535224767636,0.11305967598805983,-0.8713155526378161,-0.11091073191833584,0.12357261908583794,-0.9852378768326076,-0.11847419071950585,-0.007002273776757091,-0.46161492293110873,-0.04888809286439518,0.005868653240568503,-0.6143014386777562,-0.12256211718974366,0.02625941340075932,-0.45735451669853244,-0.1258700652906053,0.03787508899717131,-0.34402231658965465,-0.1072178656652673,-0.06825495182876395,-0.37378670940978037,-0.05328344028735328,-0.03730979357302408,-0.4434786200382784,-0.12444949266868877,0.006225195779328032,-0.3435787259450591,-0.13128979822220346,0.032893321466487,-0.26781524688191305,-0.12025318096140902
R,0.0,0.0,0.0,0.07754841035397708,-0.09831310709689839,-0.1120274761759799,0.07748026857289474,-0.27789493396378034,-0.1480973302902683,0.00976422872787584,-0.42067026342805125,-0.1694173866888515,-0.05836339409862574,-0.5665232334082543,-0.18322990372740275,0.12004387711037728,-0.5063743259329079,-0.05441956164173548,0.08130457079210847,-0.729475567802418,-0.09966016724322453,0.04830308395015422,-0.8690254644309121,-0.12410643484100524,0.017903652702458746,-0.982209790776878,-0.13722724656411633,0.04891934066533764,-0.47924652814534385,-0.028752229861054784,0.0602032221878494,-0.7159345622287686,-0.0884013007093025,0.047040680868547145,-0.8602042914582345,-0.12081317071221342,0.030062530995904203,-0.9911190595637375,-0.12953475981223395,-0.01901296446787944,-0.41727824339478053,-0.01928619646003026,-0.05126874176995752,-0.5335418661930352,-0.12805181705670773,-0.030955080692219906,-0.39110053909193093,-0.16139002820721518,-0.009390980673052942,-0.31785035994248384,-0.15048286185627333,-0.08573366236723454,-0.333804478772081,-0.01563912212310359,-0.11240429752509454,-0.3982364656342926,-0.11655800420256231,-0.08140355438783616,-0.28927485979498674,-0.14331459280694298,-0.047877177119184836,-0.2250336368010786,-0.13944634617666057
R,0.0,0.0,0.0,0.07394754406469539,-0.08610060753060338,-0.0942616657985456,0.08562305240512885,-0.27356574440855164,-0.1244230239655312,0.023857150902955895,-0.42294947189088455,-0.14285735049670173,-0.039978603513697024,-0.5562576154230651,-0.1559463596397927,0.11772622005476607,-0.5090447899201808,-0.05061692471843822,0.08802448599856247,-0.7291785974009442,-0.08986531060299231,0.05787977594483267,-0.8639424590615132,-0.11181407653995201,0.028009725220169732,-0.9765727577674413,-0.1258182582254283,0.046768744236428114,-0.49672522558476967,-0.03160836903720363,0.07148800490466428,-0.7355724202645447,-0.0816762694827975,0.07165979527547456,-0.8693098818281898,-0.1077419105373844,0.06786990706281178,-0.991062280803264,-0.11484437854905051,-0.01952797040030858,-0.4318367814602188,-0.024970365622124145,-0.04398425601102213,-0.5696760539180857,-0.12179021416380122,-0.022833356082795228,-0.4092278739179631,-0.14103369623634526,-0.0040184420377991905,-0.3180002396129247,-0.12405709113349865,-0.07957956031839963,-0.3281210293079676,-0.023017461509165706,-0.10098005365531978,-0.4127483133550856,-0.11667108216743656,-0.06635087281429917,-0.3016289962240384,-0.13207814617906558,-0.033930098242892635,-0.22963840974741676,-0.120968861190309
R,0.0,0.0,0.0,0.0795340679953876,-0.10703166695193961,-0.10652798100453628,0.07750491551654155,-0.28675130698010537,-0.13715894060928233,0.008226499216468607,-0.42514966674201277,-0.15394480884818584,-0.06133897833476692,-0.5648195661090107,-0.16388657802061837,0.11944992643114707,-0.5045549755563318,-0.03725328958461868,0.08024275579570009,-0.7253112253536184,-0.07691364685694943,0.043804590625810574,-0.8686425645101336,-0.10167492110162654,0.008693037787662162,-0.9795014871200488,-0.11624417613089047,0.046580341433082026,-0.47993328292389065,-0.015675014819058506,0.06181781221237545,-0.7129879983469104,-0.06705974323144571,0.04445487572065137,-0.8631269242059677,-0.10040607109481449,0.02267023965941239,-0.9935008888506041,-0.11154391102540957,-0.02367683248807302,-0.4161148365128263,-0.010856895679495989,-0.05010029981475383,-0.5393384827886006,-0.11515925408887936,-0.03162984652087909,-0.40264430372626336,-0.15217667547844274,-0.012325361608516086,-0.3348650609681041,-0.1457367846103669,-0.09115846906213719,-0.3281366253006088,-0.011442930594037198,-0.11138296735382122,-0.39543088652795194,-0.11195106497429977,-0.07981690273497048,-0.27737511122975644,-0.13846347048531804,-0.04725410714781285,-0.20574180221491073,-0.13512477181618723
R,0.0,0.0,0.0,0.07611382615231474,-0.08998539037603814,-0.10092138438542086,0.08201849325689795,-0.2857902704247007,-0.13060635827804457,0.014507119477023427,-0.4345259233957623,-0.14650368691684632,-0.05248127404243707,-0.5721393176157257,-0.15585477135564912,0.10859555888798635,-0.520137365478363,-0.04893607072327928,0.07297995915124217,-0.7329148911669694,-0.08788012346175472,0.0365045741790821,-0.8736490214267253,-0.11289236741888196,-0.0010015494352239125,-0.9835349272614035,-0.12929366987891985,0.036350431748258055,-0.5060859823581275,-0.02916779010839091,0.046993368594281694,-0.734763178513025,-0.07875241172893328,0.032256080929723006,-0.8758438156045248,-0.1077412669457285,0.012776508962313077,-0.9930280268101025,-0.11718403811257809,-0.03094357025857687,-0.4408083774564129,-0.023682365011002692,-0.05967503354327152,-0.5640534891147995,-0.12190502642169691,-0.03619704204769832,-0.41552901880126925,-0.14878844281583706,-0.013697098075758543,-0.33173157301934286,-0.13688603141855168,-0.093356869230595,-0.3415443320203532,-0.023771192409503587,-0.11456805535306774,-0.41855198354337686,-0.12020731649229587,-0.08122570101501987,-0.3080506788991472,-0.14182703651122222,-0.04829258103075508,-0.24141849406817253,-0.13563252643647056
R,0.0,0.0,0.0,0.07573758553696412,-0.1082363340290582,-0.08690207080557905,0.08951976044258078,-0.29652706786582783,-0.1091859417713907,0.020278538543482414,-0.44407506939312175,-0.1208595816713015,-0.04490510918427293,-0.577195645012363,-0.12715853178491976,0.12175959918264134,-0.5112490600312467,-0.03585302959237586,0.08694007782231943,-0.7386428470014557,-0.0702099175254623,0.05504677347445431,-0.8720243144569564,-0.08938624174219557,0.025792696860476135,-0.9828551141511289,-0.10074159195013271,0.050908924891954775,-0.5018149998097812,-0.018943408379835693,0.06766785995779334,-0.736477419984448,-0.06550800080695338,0.05823784649162277,-0.8725222305319197,-0.09367167301269633,0.04747455103603312,-0.9936216304935861,-0.10228500583758411,-0.015535369697018124,-0.44148019079379386,-0.014285186553240624,-0.04374369041462474,-0.5522988502220816,-0.10795358090381672,-0.02539078799021404,-0.39866345510223905,-0.13218890670041616,-0.007312941045595189,-0.31958085467321284,-0.11820029565798094,-0.07927597752133435,-0.34406174212338564,-0.013432459335934784,-0.1067921379098203,-0.4289070872660945,-0.1011655205373441,-0.0755153856365347,-0.3187049386189648,-0.11593705484908656,-0.043242388279108535,-0.25099859319244816,-0.10501217823564869
